Sample	berger_parker	buzas_gibson	chao1	dominance	equitability	jost	jost1	reads	richness	robbins	simpson	shannon_e	shannon_2	shannon_10
A11	0.0475	0.00164	499.0	0.988	0.821	110.8	164.1	99994.0	499.0	0	0.012	5.10	7.36	2.21
A21	0.108	0.00107	492.0	0.974	0.754	57.8	106.9	100006.0	492.0	0	0.026	4.67	6.74	2.03
A22	0.0438	0.0015	462.0	0.987	0.817	101.6	150.1	99999.0	462.0	0	0.0129	5.01	7.23	2.18
A31	0.098	0.00122	462.0	0.975	0.783	64.8	121.9	99964.0	462.0	0	0.0252	4.80	6.93	2.09
A32	0.0868	0.00123	469.0	0.980	0.783	73.4	123.4	100030.0	469.0	0	0.0199	4.82	6.95	2.09
A41	0.104	0.00102	471.0	0.970	0.752	52.3	102.3	100006.0	471.0	0	0.0304	4.63	6.68	2.01
A42	0.0361	0.00172	498.0	0.989	0.829	116.2	171.9	100005.0	498.0	0	0.0114	5.15	7.43	2.24
A51	0.171	0.000838	494.0	0.956	0.714	38.1	83.8	100002.0	494.0	0	0.0439	4.43	6.39	1.92
A52	0.0868	0.00139	481.0	0.983	0.799	84.8	139.3	100034.0	481.0	0	0.0174	4.94	7.12	2.14
B11	0.098	0.00112	429.0	0.975	0.779	62.4	112.1	100004.0	429.0	0	0.0246	4.72	6.81	2.05
B12	0.110	0.00146	490.0	0.979	0.805	80.4	146.2	100042.0	490.0	0	0.0205	4.99	7.19	2.17
B21	0.0696	0.00152	468.0	0.985	0.817	96.3	152.2	99990.0	468.0	0	0.0151	5.03	7.25	2.18
B31	0.125	0.00107	481.0	0.968	0.757	51.6	107.3	100016.0	481.0	0	0.0324	4.68	6.75	2.03
B32	0.0729	0.000968	416.0	0.977	0.758	59.8	96.8	100010.0	416.0	0	0.0228	4.57	6.60	1.99
B41	0.171	0.000805	437.0	0.956	0.722	38.2	80.5	100033.0	437.0	0	0.044	4.39	6.33	1.91
B42	0.257	0.000685	450.0	0.924	0.692	24.7	68.5	100004.0	450.0	0	0.0762	4.23	6.10	1.84
B51	0.0942	0.00125	476.0	0.976	0.783	67.0	125.1	100000.0	476.0	0	0.0237	4.83	6.97	2.10
B52	0.207	0.000942	470.0	0.950	0.739	38.4	94.2	99962.0	470.0	0	0.0504	4.55	6.56	1.97
C11	0.111	0.000701	428.0	0.963	0.701	38.8	70.1	99981.0	428.0	0	0.037	4.25	6.13	1.85
C12	0.215	0.000874	450.0	0.947	0.732	36.2	87.3	99972.0	450.0	0	0.0533	4.47	6.45	1.94
C21	0.104	0.000625	397.0	0.960	0.691	34.7	62.4	99969.0	397.0	0	0.04	4.13	5.96	1.80
C22	0.0514	0.00143	434.0	0.986	0.817	97.2	142.8	99979.0	434.0	0	0.0137	4.96	7.16	2.15
C31	0.112	0.000776	421.0	0.965	0.720	42.8	77.6	99979.0	421.0	0	0.0345	4.35	6.28	1.89
C41	0.0997	0.000923	422.0	0.974	0.749	54.1	92.3	100000.0	422.0	0	0.0265	4.53	6.53	1.97
C42	0.0843	0.00126	429.0	0.981	0.798	78.1	126.4	100025.0	429.0	0	0.0186	4.84	6.98	2.10
C51	0.107	0.000878	391.0	0.973	0.750	52.8	87.8	99988.0	391.0	0	0.0274	4.48	6.46	1.94
C52	0.0594	0.00118	357.0	0.983	0.811	77.9	117.5	99981.0	357.0	0	0.0171	4.77	6.88	2.07
D11	0.109	0.000786	431.0	0.966	0.720	42.3	78.6	99992.0	431.0	0	0.0345	4.36	6.30	1.90
D21	0.114	0.000595	421.0	0.954	0.676	31.3	59.5	99983.0	421.0	0	0.0455	4.09	5.90	1.77
D31	0.144	0.000782	428.0	0.960	0.720	39.3	78.3	100029.0	428.0	0	0.0398	4.36	6.29	1.89
D32	0.0607	0.00154	457.0	0.986	0.823	99.8	154.2	100021.0	457.0	0	0.014	5.04	7.27	2.19
D41	0.0989	0.000899	420.0	0.970	0.745	49.3	89.9	100012.0	420.0	0	0.0305	4.50	6.49	1.95
D42	0.0974	0.00124	446.0	0.978	0.790	71.1	124.1	99968.0	446.0	0	0.0219	4.82	6.96	2.09
D51	0.195	0.000457	444.0	0.930	0.627	21.4	45.7	100032.0	444.0	0	0.0695	3.82	5.52	1.66
D52	0.116	0.00118	457.0	0.975	0.778	63.4	117.5	99975.0	457.0	0	0.0251	4.77	6.88	2.07
E11	0.0794	0.00109	445.0	0.977	0.769	63.4	108.5	100017.0	445.0	0	0.0228	4.69	6.76	2.04
E21	0.117	0.00097	450.0	0.972	0.749	53.2	97.1	100037.0	450.0	0	0.0284	4.58	6.60	1.99
E22	0.184	0.000875	439.0	0.957	0.735	41.4	87.5	100005.0	439.0	0	0.0429	4.47	6.45	1.94
E31	0.0938	0.000687	418.0	0.964	0.701	38.1	68.7	100023.0	418.0	0	0.0364	4.23	6.10	1.84
E32	0.0791	0.00129	453.0	0.981	0.794	75.5	128.5	99964.0	453.0	0	0.0195	4.86	7.01	2.11
E42	0.216	0.000799	420.0	0.945	0.725	33.8	79.9	100017.0	420.0	0	0.0551	4.38	6.32	1.90
E51	0.115	0.000633	429.0	0.957	0.684	33.2	63.3	99973.0	429.0	0	0.0433	4.15	5.98	1.80
E52	0.204	0.000526	394.0	0.930	0.663	22.9	52.6	100031.0	394.0	0	0.07	3.96	5.72	1.72
F11	0.0816	0.00104	446.0	0.974	0.761	57.8	104.0	99954.0	446.0	0	0.0256	4.64	6.70	2.02
F12	0.0614	0.00101	420.0	0.978	0.764	61.3	100.9	99957.0	420.0	0	0.0223	4.61	6.66	2.00
F21	0.0805	0.00108	450.0	0.977	0.767	62.7	108.1	100019.0	450.0	0	0.0231	4.68	6.76	2.03
F22	0.100	0.00148	447.0	0.982	0.819	89.6	148.0	100019.0	447.0	0	0.0176	5.00	7.21	2.17
