	Domain	Phylum	Class	Order	Family	Genus	Species
ASV_4	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Bacteroidaceae	Bacteroides	
ASV_1	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Bacteroidaceae	Bacteroides	
ASV_2	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Porphyromonadaceae	Parabacteroides	
ASV_3	Bacteria	Firmicutes	Clostridia	Clostridiales			
ASV_5	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Bacteroidaceae		
ASV_6	Bacteria	Firmicutes	Erysipelotrichia	Erysipelotrichales	Erysipelotrichaceae	Faecalibaculum	
ASV_8	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Bacteroidaceae		
ASV_7	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae		
ASV_9	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Bacteroidaceae	Bacteroides	
ASV_12	Bacteria	Firmicutes	Bacilli	Lactobacillales	Lactobacillaceae	Lactobacillus	
ASV_10	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae		
ASV_11	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Sutterellaceae	Parasutterella	
ASV_13	Bacteria	Firmicutes	Erysipelotrichia	Erysipelotrichales	Erysipelotrichaceae	Turicibacter	
ASV_15	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Bacteroidaceae	Bacteroides	
ASV_14	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Bacteroidaceae		
ASV_16	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Bacteroidaceae	Bacteroides	
ASV_18	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Bacteroidaceae		
ASV_17	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae		
ASV_20	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae		
ASV_19	Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae		
ASV_21	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Muribaculaceae		
ASV_22	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Bacteroidaceae	Bacteroides	
ASV_24	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Bacteroidaceae		
ASV_23	Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae		
ASV_25	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae		
ASV_26	Bacteria	Actinobacteria	Actinobacteria	Bifidobacteriales	Bifidobacteriaceae	Bifidobacterium	
ASV_27	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae		
ASV_28	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Schaedlerella	
ASV_30	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Bacteroidaceae		
ASV_29	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Bacteroidaceae		
ASV_31	Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	Clostridium_IV	
ASV_32	Bacteria	Firmicutes	Clostridia	Clostridiales			
ASV_33	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Bacteroidaceae		
ASV_34	Bacteria	Firmicutes	Clostridia	Clostridiales			
ASV_35	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae		
ASV_36	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Bacteroidaceae		
ASV_38	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Bacteroidaceae	Bacteroides	
