#OTU ID	A11	A21	A22	A31	A32	A41	A42	A51	A52	B11	B12	B21	B31	B32	B41	B42	B51	B52	C11	C12	C21	C22	C31	C41	C42	C51	C52	D11	D21	D31	D32	D41	D42	D51	D52	E11	E21	E22	E31	E32	E42	E51	E52	F11	F12	F21	F22	F31	F32	F41	F42	F51	G11	G22	G31	G32	G41	G42	G51	G52	H12	H21	H22	H31	H32	H41	H51	H52	I11	I12	I21	I22	I31	I41	I42	I51	I52	J21	J22	J31	J32	J41	J42	J51	J52
ASV_1	1594	3405	976	3314	931	2860	898	3276	1202	2743	3121	1325	2106	693	2144	2186	2526	1317	11130	995	9217	918	7828	9966	1682	10718	803	10889	10425	8280	1949	9890	2131	10726	2633	7940	11676	1716	8148	814	1020	11461	3426	8161	581	8054	2548	13538	417	11832	1333	9974	6741	1519	11686	5703	7989	1635	11667	6019	5774	10079	3199	9823	2131	16211	9435	1623	10693	2704	7705	1566	7936	6844	1898	9609	3472	9067	1732	7311	1945	6998	3152	9147	2721
ASV_10	115	574	1353	0	0	86	669	22	0	4	0	157	456	0	6	0	3	0	482	4	6306	2875	11209	3034	0	2755	16	7	2363	30	109	2599	50	1315	130	3360	3421	18402	2629	271	21606	5606	867	696	191	2058	791	102	1243	1454	4517	1555	428	18	882	24	1177	996	1435	7	1044	39	2979	217	348	375	102	2987	246	23	28	585	5796	1300	535	1607	932	727	13	0	4598	626	20	244	2867
ASV_100	16	68	12	64	19	44	29	45	6	103	40	75	148	7	66	62	96	56	241	13	101	12	128	235	35	408	16	151	19	117	62	211	64	32	25	102	104	16	20	72	0	39	116	118	7	103	106	172	0	163	32	49	23	22	236	139	327	35	264	114	99	68	136	330	128	90	208	56	184	99	461	41	216	256	29	292	50	235	73	416	36	163	85	125	66
ASV_101	500	0	0	24	0	0	903	0	0	0	0	279	0	0	83	0	0	0	2	9	130	0	382	10	18	11	283	199	5	0	109	0	672	3	62	738	214	1483	510	561	441	938	254	143	14	0	15	3	1299	0	2879	185	3	0	252	0	3	0	355	62	14	0	7	0	6	19	0	7	0	137	108	0	697	3	17	334	27	32	4	270	491	274	3	617	10
ASV_102	47	45	43	88	25	76	82	372	107	51	24	75	145	20	182	68	147	12	61	102	10	42	75	56	53	45	16	162	107	128	23	377	57	290	43	290	92	26	245	81	17	177	52	383	35	178	30	30	14	395	65	130	205	124	48	71	56	159	231	3	56	174	56	87	6	422	47	23	200	23	205	153	12	149	4	234	4	49	102	579	36	111	29	62	307
ASV_103	0	0	253	0	265	0	428	0	438	0	775	0	0	107	0	999	0	499	5	4	3	127	0	331	876	15	47	0	0	0	916	488	453	17	534	536	568	106	147	507	225	147	214	31	1119	0	1430	274	271	51	495	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_104	6	0	0	0	25	13	6	38	0	13	0	9	4	7	0	17	21	6	241	0	71	0	109	152	0	82	31	48	15	26	0	16	28	44	62	47	3	21	128	18	9	604	6	442	42	96	15	255	0	399	0	1747	3	22	55	102	0	18	17	14	0	73	17	247	17	366	588	7	10	8	23	36	69	18	0	22	23	4	4	6	32	145	10	45	0
ASV_105	308	60	766	314	222	162	587	156	1433	833	751	323	208	347	155	119	281	524	0	297	0	54	2	0	257	0	346	2	0	0	1382	0	481	3	1745	0	0	121	0	118	181	0	40	0	198	0	122	0	889	6	167	0	0	2183	3	75	0	260	0	14	122	0	143	0	17	0	0	49	0	106	0	761	0	0	502	0	162	4	119	0	191	3	993	0	35
ASV_106	75	163	31	88	49	16	129	178	30	43	124	66	263	73	113	34	99	6	61	53	140	199	56	40	80	90	63	96	76	83	78	68	78	87	130	99	36	106	201	118	26	36	75	42	120	121	122	70	28	48	97	172	138	106	26	82	28	62	13	156	132	75	108	130	203	50	102	128	75	11	120	99	103	140	150	36	58	69	179	28	76	77	124	96	7
ASV_107	90	83	37	668	142	114	76	115	41	120	100	47	141	53	101	227	117	94	230	67	156	6	130	169	27	49	0	17	54	49	31	560	234	157	99	17	214	11	231	18	78	33	81	136	7	252	0	132	0	169	106	65	91	35	84	75	178	4	161	3	9	247	227	33	46	555	629	43	23	23	285	45	12	33	8	221	120	134	4	298	4	348	3	68	45
ASV_108	31	94	12	209	12	101	18	64	41	90	176	38	122	13	429	301	209	69	297	31	276	18	396	559	195	973	47	387	114	218	280	290	50	206	75	127	271	58	39	81	52	147	208	373	28	245	175	242	7	312	46	146	47	62	426	727	427	84	271	100	230	86	105	204	64	236	102	29	154	118	205	126	125	170	88	753	367	191	107	343	51	133	203	368	152
ASV_109	1563	442	1223	24	2874	3076	2487	3	1409	3795	1259	9	0	13	0	0	1669	1404	2	0	0	0	2	3	27	0	0	0	0	0	0	0	28	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	7	0	13	0	3
ASV_11	1249	2022	210	1150	160	510	469	1702	604	1132	2158	160	994	413	2224	2231	651	961	1614	506	698	453	1217	1352	159	457	362	1287	801	1606	668	891	389	1460	447	757	2656	713	3458	1050	501	1136	1473	1539	283	1329	1552	1482	125	2417	1111	1298	1877	638	1609	948	1224	1441	589	952	1801	1179	1353	1194	1004	757	588	514	151	874	171	635	31	42	690	163	1055	231	922	90	365	86	698	266	701
ASV_110	3	83	12	72	25	22	35	60	30	51	52	63	52	13	86	68	65	25	197	9	172	0	171	331	0	202	31	229	80	162	109	273	28	55	118	47	92	16	15	81	26	93	422	94	42	75	198	113	0	118	28	42	35	27	233	102	300	4	141	156	108	171	154	394	105	74	205	29	383	160	290	68	462	313	46	306	66	101	85	135	40	123	92	159	114
ASV_111	205	283	136	539	401	111	158	264	77	154	144	63	386	60	227	165	134	325	96	253	49	163	17	195	9	996	63	127	297	8	16	52	21	311	19	11	217	16	589	27	43	36	87	28	14	25	23	43	0	13	37	23	15	27	55	24	586	75	30	0	33	16	0	20	6	22	29	10	370	27	51	32	194	242	17	171	15	142	4	51	11	71	26	329	7
ASV_112	40	129	12	121	0	25	0	83	0	77	8	57	74	7	51	11	51	19	136	22	208	6	150	40	0	49	0	129	170	143	23	33	0	250	6	33	241	0	132	0	0	105	6	52	0	64	15	134	7	83	0	228	88	0	36	7	42	4	94	0	0	91	7	133	12	127	146	10	184	8	46	0	194	119	0	47	0	49	0	62	0	170	39	102	0
ASV_113	177	121	210	640	142	67	176	89	30	312	144	44	226	33	170	324	134	337	117	18	101	66	46	301	44	281	16	39	378	143	132	62	531	81	161	276	110	63	549	45	35	183	81	21	92	171	76	43	21	281	19	127	106	115	120	126	50	31	47	10	33	39	35	267	41	102	96	36	226	11	46	36	162	227	54	39	35	32	98	107	54	15	134	102	28
ASV_114	12	45	6	64	0	29	18	25	6	60	28	41	48	7	60	57	69	19	173	0	133	0	150	426	0	217	0	153	46	173	93	293	21	26	19	88	137	11	34	100	9	69	243	52	85	103	152	78	7	80	32	26	12	27	220	136	308	13	47	118	108	140	108	454	35	47	108	23	259	99	239	36	444	292	50	320	27	49	124	56	54	55	134	62	152
ASV_115	522	113	550	44	179	111	287	70	308	60	284	389	93	53	30	97	137	69	28	58	6	423	7	50	151	4	299	149	5	64	148	68	71	38	68	17	152	106	20	471	147	3	12	38	120	21	53	8	139	16	56	26	41	230	19	194	6	203	0	277	461	31	112	7	134	9	18	69	3	160	23	99	19	3	105	6	66	0	158	11	253	3	147	0	107
ASV_116	146	155	56	342	123	212	129	200	83	299	100	104	189	140	197	148	175	144	105	155	140	54	109	86	106	82	0	107	54	41	78	59	57	70	149	53	294	111	162	72	164	60	191	125	120	156	228	129	97	159	93	72	62	89	149	150	56	128	74	256	85	125	87	113	122	168	137	79	108	53	74	131	59	128	134	91	108	57	111	185	105	305	210	408	86
ASV_117	286	355	87	282	117	155	70	239	36	295	80	66	104	60	86	97	271	150	2	169	0	163	2	3	151	45	31	61	156	38	140	198	57	200	130	80	33	21	437	81	69	81	110	84	7	28	38	0	14	26	32	117	114	31	3	41	14	154	90	0	33	18	21	17	64	16	0	79	82	8	46	95	178	27	25	47	4	12	175	152	0	31	7	85	14
