Family	A11	A21	A22	A31	A32	A41	A42	A51	A52	B11	B12	B21	B31	B32	B41	B42	B51	B52	C11	C12	C21	C22	C31	C41	C42	C51	C52	D11	D21	D31	D32	D41	D42	D51	D52	E11	E21	E22	E31	E32	E42	E51	E52	F11	F12	F21	F22	F31	F32	F41	F42	F51	G11	G22	G31	G32	G41	G42	G51	G52	H12	H21	H22	H31	H32	H41	H51	H52	I11	I12	I21	I22	I31	I41	I42	I51	I52	J21	J22	J31	J32	J41	J42	J51	J52	All
Lachnospiraceae	47.9	16.7	67.6	24.7	67.4	44.3	54.1	13.1	57.4	35.1	29	59.7	23	68.2	13.7	14.4	31.8	34.5	6.6	68.1	16.4	64.4	21.1	14.6	47.1	11.8	61.5	18.7	14.4	15.6	44.2	13	53.5	11.7	37.3	21.6	16.9	68.4	14.4	50.1	74.2	17.2	9.05	24.4	67.9	28.3	26.7	12.4	74	11.3	53.6	13.7	27.5	52.4	7.63	25.8	5.27	60.2	7.33	28.5	32.9	26.7	32.1	7.87	54.1	11.7	9.89	57.7	9.16	36.9	8.25	55.7	35	20.4	53.5	10.2	26.5	12.6	31.8	7.07	51.5	17	29.5	15.8	18.9	35.3
(Unassigned)	9.11	16.5	5.69	14.3	9.1	7.62	11.5	13.9	7.25	10.4	10.3	5.51	17.8	3.87	9.43	8.84	8.99	8.77	20.6	6.15	17.3	4.77	12.3	12.3	9.24	8.49	5.03	12.5	22.4	24.5	5.31	22.8	5.74	28.9	6.29	11.5	8.29	3.12	16	5.65	3.91	17.1	6.32	16.3	4.59	13.2	7.47	18.1	3.3	19.1	5.68	20.5	9.7	2.9	8.37	6.49	9.17	4.8	10.8	2.88	4.58	8.93	5.44	8.71	3.93	13.9	13	5.65	36.9	4.11	30.4	7.32	9.9	13.1	6.32	30	4.93	19.7	7.73	39.9	6.56	29	10.2	24.1	13.4	21.3
Ruminococcaceae	19.4	5.71	14.7	7.95	9.55	7.04	12.8	7.42	15.9	5.36	16.5	13.1	7.66	9	3.54	6.15	10.7	6.46	3.48	8.81	2.89	17.4	3.65	3.46	10.3	3.12	12.7	5.82	6.87	5.02	7.56	3.47	9.45	4.51	12.1	13.1	9.23	9.3	6.96	19.2	7.48	4.33	6.92	4.5	4.01	6.06	6.78	5.01	9.55	2.71	7.6	6.36	6.76	8.71	4.49	10.5	2.95	7.67	4.93	22.1	14.8	3.74	12.4	2.78	7	4.6	4.5	12.4	1.89	17.3	3.91	13.4	3.7	2.8	16.4	1.99	12.2	4.92	18.7	1.16	16.1	4.02	10.2	5.12	10.1	15.2
Bacteroidaceae	7.96	21.3	4.06	20	4.77	12.4	9.34	20.8	7.42	18.1	17.3	12.3	19.6	3.6	30.9	18.2	19.5	9.76	56.7	6.42	44.3	4.08	48.3	53.7	19.7	65	7.14	43.5	37.5	41.1	19.2	47.3	11.1	37.4	15.5	37	44	7.32	24.3	10.5	5.02	43.6	29.2	42.2	9.27	36.9	27.8	47.3	3.99	47.3	12.1	39.2	20.2	16.2	50.4	36.4	57.4	9.35	58.4	29.8	26.4	44.1	28.1	57.7	17.3	51.3	55.6	11.5	43	24.1	49.3	13.5	41.8	51.6	10.7	49.7	27.3	56	18.7	46	13	43.1	29.6	45.4	21.9	15.0
Porphyromonadaceae	2.66	13.3	4.79	12.1	4.7	11.1	4.78	19.8	6.32	9.81	15.5	6.63	12.4	4.85	22.9	11.8	12.5	6.72	6.58	3.86	8.05	5.14	7.4	7.88	10.1	7.52	5.71	11.7	9.71	6.7	9.6	7.7	6.72	10	9.4	4.84	7.2	3.55	3.53	4.56	3.82	5.17	4.54	5.34	8.08	9.09	19.2	8.32	5.18	10	8.86	12.3	7.86	12.2	7.7	13.4	7.92	8.09	4.99	12.4	17.1	7.09	12.8	8.22	11.9	8.02	7.13	9.08	5.78	14.7	6.72	6.48	6.1	8.3	6.63	6.27	17.5	5.01	14.7	3.9	10.5	2.94	12.4	7.24	10.7	3.1
Erysipelotrichaceae	3.18	5.78	0.499	2.88	0.569	3.47	0.728	5.26	1.06	3.61	3.2	0.158	0.986	6.03	1.87	30	0.994	24.8	2.43	4.44	6.53	2.05	2.86	2.31	1.81	2.1	6.06	2.66	4.97	2.53	8.63	1.14	10.2	2.76	14.4	1.52	1.45	2.83	10.7	2.61	2.04	2.23	15.7	2.11	0.516	1.82	4.67	2.61	2.13	1.79	5.4	4.2	18.6	5.59	17.2	4.31	14.7	4.79	11.1	1.91	0.832	3.45	5.44	4.44	2.04	3.39	4.53	2.12	2.24	1.17	0.776	1.9	2.32	2.71	4.19	1.1	8.82	0.277	0.7	0.5	0.317	1.25	3.94	1.16	15.3	2.3
Lactobacillaceae	4.77	11	0.179	12.9	0.881	9.74	0.722	10.1	0.267	12.8	0.652	0.832	15.4	1.79	9.52	1.28	11	3.74	0.332	0.378	1.56	0.29	0.861	0.541	0.133	0.172	0.536	0.26	0.211	0.175	0.723	0.094	0.176	0.301	0.253	0.141	0.577	0.323	0.918	0.235	0.156	0.448	1.35	0.479	0.318	0.311	0.184	0.235	0.375	0.574	0.643	0.247	1.16	0.177	0.356	0.636	0.064	1.83	0.575	0.065	0.155	0.864	0.926	0.407	1.36	0.701	1.36	0.197	0.075	0.038	0.045	0.127	0.062	0.078	0.113	0.052	0.136	0.089	2.09	0	0.156	0.076	1.16	0.08	4.4	1.7
Sutterellaceae	2.12	3.08	0.414	1.91	0.369	0.906	0.938	2.58	1.07	1.66	3.02	0.254	1.38	0.867	3.12	3.58	1.03	1.7	2.17	0.915	0.955	0.971	1.72	1.89	0.735	0.714	0.96	1.73	1.04	2.18	1.39	1.21	0.89	1.88	0.825	1.08	3.45	1.3	4.27	1.87	1.11	1.42	2.18	2.33	0.828	2.01	2.81	2.09	0.432	3.38	1.93	1.82	2.46	1.01	2.35	1.48	1.86	2.58	0.808	1.34	2.88	1.75	2.22	1.82	1.92	1.13	0.784	1.01	0.183	1.36	0.239	0.956	0.055	0.051	1.15	0.21	1.7	0.344	1.43	0.152	0.617	0.126	1.02	0.385	1.04	1.0
Bifidobacteriaceae	1.87	5.88	0.197	1.67	0.228	1.75	0.605	6	0.64	1.63	0.172	0.154	0.619	0.194	3.29	0.84	1.24	0.606	0.625	0.195	1.09	0.054	0.69	0.896	0.027	0.565	0.126	0.796	1.55	0.745	0.023	0.175	0.106	1.28	0.105	1.27	1.76	0.143	7.28	0.054	0.207	2.32	0.491	1.11	0.014	1.17	0.084	1.91	0.056	1.58	0.097	0.253	1.9	0.368	0.611	0.132	0.313	0.114	0.298	0.02	0.118	1.3	0.269	1.3	0.122	2.31	1.82	0.16	0.052	0.069	0.04	0.0999	0.006	0.027	0.196	0.047	0.302	0.032	0.077	0.039	0.066	0.123	0.521	0.074	2.16	0.9
Eubacteriaceae	0.025	0.06	0.13	0.1	0.161	0.063	0.294	0.134	0.101	0.051	0.344	0.031	0.171	0.127	0.537	0.034	0.281	0.125	0.028	0.022	0.338	0.103	0.413	0.079	0	0.229	0.094	0.443	0.334	0.226	0.171	0.062	0.58	0.041	0.354	0.42	0.774	0.074	1.2	0.054	0.104	0.992	0.572	0.139	0.127	0.285	0.882	0.021	0.049	1.07	0.639	0.348	0.006	0.053	0.119	0.517	0.164	0.339	0.026	0.519	0	0.93	0	0.07	0.006	0.961	0.307	0	0.072	0.118	0.039	0.194	0.003	0.105	0.004	0	0.313	0.682	0.124	1.02	0.235	1.32	0.131	0.011	0.524	0.5
