Genus	A11	A21	A22	A31	A32	A41	A42	A51	A52	B11	B12	B21	B31	B32	B41	B42	B51	B52	C11	C12	C21	C22	C31	C41	C42	C51	C52	D11	D21	D31	D32	D41	D42	D51	D52	E11	E21	E22	E31	E32	E42	E51	E52	F11	F12	F21	F22	F31	F32	F41	F42	F51	G11	G22	G31	G32	G41	G42	G51	G52	H12	H21	H22	H31	H32	H41	H51	H52	I11	I12	I21	I22	I31	I41	I42	I51	I52	J21	J22	J31	J32	J41	J42	J51	J52	All
(Unassigned)	68.7	45.3	78.9	50.9	83.7	49.6	76.8	38	76.7	57.2	59	74.7	57.4	78.5	37.7	37.9	55.1	50.6	41.6	78.8	48.5	79.6	48.1	51.9	64.8	40.5	73.6	52	44.6	53.1	61	54	66.2	50.3	55.9	51.4	46.1	73.2	41.6	71.8	78.1	48.3	35	52.8	81.6	46.4	48.7	41.8	84.3	43.9	65.1	45.5	42.4	66.6	35.2	46.9	39.2	70	35.4	56.8	55.1	49.4	59.1	48	66.9	43.3	44.2	77.1	63.7	66.2	64.9	75.5	66.5	67.7	72.6	61	46.5	46.4	54.3	61	70	58.9	50.9	50.9	47.8	70.3
Bacteroides	4.31	11.8	2.97	10.9	2.82	7.61	3.96	11.6	4.58	8.52	11.2	4.35	8.26	2.32	18.3	11.1	10.3	5.71	43.8	3.48	30.6	3.46	35.4	31.1	18.2	46	4.77	25.9	31.3	29	13.3	33.4	7.23	29.3	10.5	29.1	33.3	4.5	21.4	4.02	4.17	35	11.1	32.4	5.56	29.1	16	38.9	2.89	35.4	6.71	30.1	15.8	8.84	32.9	25.6	33.4	6.27	42.1	17.9	18.4	30.2	13.4	28.2	7.67	36	36.1	6.21	26.2	11.7	25	7.56	16.8	17	7.12	29.6	16.9	43.5	10	32.3	8.61	31	20	35.9	11.1	9.6
Parabacteroides	2.66	13.3	4.79	12.1	4.7	11.1	4.78	19.8	6.32	9.81	15.5	6.63	12.4	4.85	22.9	11.8	12.5	6.72	6.58	3.86	8.05	5.14	7.4	7.88	10.1	7.52	5.71	11.7	9.71	6.7	9.6	7.7	6.72	10	9.4	4.84	7.2	3.55	3.53	4.56	3.82	5.17	4.54	5.34	8.08	9.09	19.2	8.32	5.18	10	8.86	12.3	7.86	12.2	7.7	13.4	7.92	8.09	4.99	12.4	17.1	7.09	12.8	8.22	11.9	8.02	7.13	9.08	5.78	14.7	6.72	6.48	6.1	8.3	6.63	6.27	17.5	5.01	14.7	3.9	10.5	2.94	12.4	7.24	10.7	3.1
Flintibacter	2.52	1.12	1.89	0.473	0.593	0.799	1.56	0.526	1.8	0.475	2.35	2.13	0.363	1.19	0.458	0.278	0.8	0.848	0.072	1.32	0.135	1.46	0.286	0.161	0.514	0.191	1.06	0.868	0.072	0.592	0.444	0.167	1.24	0.228	1.14	0.191	0.674	0.665	0.59	4.14	0.476	0.117	0.059	0.331	0.813	0.321	1.29	0.087	1.24	0.159	0.604	0.755	0.499	0.837	0.306	1.55	0.012	1.16	0.01	2.08	1.38	0.109	0.624	0.027	0.441	0.353	0.194	0.39	0.079	0.829	0.069	0.448	0.075	0.292	1.3	0.119	1.16	0.467	4.77	0.011	1	0.08	1.08	0.509	1.14	1.9
Parasutterella	2.12	3.08	0.414	1.91	0.369	0.906	0.938	2.58	1.07	1.66	3.02	0.254	1.38	0.867	3.12	3.58	1.03	1.7	2.17	0.915	0.955	0.971	1.72	1.89	0.735	0.714	0.96	1.73	1.04	2.18	1.39	1.21	0.89	1.88	0.825	1.08	3.45	1.3	4.27	1.87	1.11	1.42	2.18	2.33	0.828	2.01	2.81	2.09	0.432	3.38	1.93	1.82	2.46	1.01	2.35	1.48	1.86	2.58	0.808	1.34	2.88	1.75	2.22	1.82	1.92	1.13	0.784	1.01	0.183	1.36	0.239	0.956	0.055	0.051	1.15	0.21	1.7	0.344	1.43	0.152	0.617	0.126	1.02	0.385	1.04	1.0
Faecalibaculum	2.28	3.39	0.444	1.5	0.42	2.27	0.634	4.29	0.822	0	3	0.003	0	5.85	0	29.6	0	24.6	0.005	4.32	0.003	1.7	0.002	0	1.69	0	5.87	0	0	0	8.47	0	9.97	0	14.3	0.003	0.003	2.72	0	2.56	2.02	0.009	15.5	0.007	0.502	0.012	4.59	0.008	2.12	0.019	5.35	0.007	15.5	5.53	16.5	4.23	13.8	4.71	9.56	1.88	0.785	0.413	5.32	1.56	1.95	0.43	0.185	2.02	0.003	1.09	0.006	1.86	0	0.003	3.92	0	8.71	0	0.601	0	0.205	0.003	3.47	0	14.6	1.0
Bifidobacterium	1.87	5.88	0.197	1.67	0.228	1.75	0.605	6	0.64	1.63	0.172	0.154	0.619	0.194	3.29	0.84	1.24	0.606	0.625	0.195	1.09	0.054	0.69	0.896	0.027	0.565	0.126	0.796	1.55	0.745	0.023	0.175	0.106	1.28	0.105	1.27	1.76	0.143	7.28	0.054	0.207	2.32	0.491	1.11	0.014	1.17	0.084	1.91	0.056	1.58	0.097	0.253	1.9	0.368	0.611	0.132	0.313	0.114	0.298	0.02	0.118	1.3	0.269	1.3	0.122	2.31	1.82	0.16	0.052	0.069	0.04	0.0999	0.006	0.027	0.196	0.047	0.302	0.032	0.077	0.039	0.066	0.123	0.521	0.074	2.16	0.9
Clostridium_IV	0.697	0.658	0.228	0.76	0.24	0.283	0.68	0.484	0.646	0.308	1.26	0.619	0.789	1.56	0.179	0.17	0.853	0.149	1.29	0.861	0.428	3.59	0.797	0.526	1.82	0.902	2.33	0.623	2.84	0.539	1.15	0.762	2	0.612	2.34	5.23	0.706	2.51	1.72	1.19	0.795	1.11	0.348	0.564	0.219	0.601	0.441	1.93	0.437	0.124	1.86	1.89	0.607	0.415	0.527	0.88	0.369	0.891	1.12	1.19	0.719	0.399	0.258	0.66	0.795	0.58	1.39	0.645	0.344	0.349	0.934	2.86	1.09	0.608	1.52	0.235	0.314	1.35	2.94	0.118	1.14	0.727	1.48	1.06	0.206	0.9
Ruminococcus	0.103	0	0.315	0.309	0.413	0.552	0.275	2.32	0.403	0.03	0.34	0.037	0.015	0.126	0.134	0.42	0.342	0.499	0.581	0.324	1.03	0.102	0.744	0.599	0.257	0.621	0.173	0.308	1.49	0.602	0.179	0.036	0.878	1.34	0.547	0.934	0.282	1.44	0.201	0.353	0.916	0.685	4.39	0.78	0.424	2.48	1.47	0.923	0.368	0.793	1.11	0.97	1.82	0.411	1	1.81	1.42	0.167	1.48	0.551	0.602	1.36	1.27	0.274	0.603	1.08	0.716	0.696	0.292	0.297	0.774	0.796	0.093	0.188	0.798	0.888	0.828	1.4	0.17	0.579	0.977	2.23	0.605	1.24	0.82	0.7
Enterocloster	0.136	0.159	3.44	0.028	1.38	0.016	2.32	0.593	1.78	0.026	0.184	3.27	0.085	0.013	0.033	0.063	0.048	0.025	0.014	2.34	0.003	0.23	0.029	0.095	0.159	0.012	0.723	0.162	0.421	1.12	0.567	0.101	1.92	0.421	0.074	0.912	0.521	3.9	0.237	0.543	2.22	0.532	0.849	0.003	0.064	5.12	2.36	0.059	0.562	0.111	3.38	0.081	1.33	0.55	0.103	0.446	0.009	1.42	0.006	2.74	0.028	1.16	2.34	0.023	5.1	0.015	0.144	1.06	0.177	0.084	0.006	0.603	0.027	0.146	0.806	0.026	0.734	0.008	0.406	0.023	1.67	0.049	0.478	0.079	0.488	0.7
